gene	gene_class	nonsyn_abnormal_n	nonsyn_abnormal_rate	nonsyn_normal_n	nonsyn_normal_rate	nonsyn_control_n	nonsyn_control_rate	nonsyn_rate_ab_minus_normal	nonsyn_rate_ab_minus_control	rare_abnormal_n	rare_abnormal_rate	rare_normal_n	rare_normal_rate	rare_control_n	rare_control_rate	rare_rate_ab_minus_normal	rare_rate_ab_minus_control
ZNF532	histone_erase	20	0.425531914893617	256	0.5714285714285714	78	0.5098039215686274	-0.14589665653495437	-0.08427200667501039	1	0.02127659574468085	8	0.017857142857142856	6	0.0392156862745098	0.0034194528875379944	-0.017939090529828953
CUL3	histone_write	19	0.40425531914893614	204	0.45535714285714285	71	0.46405228758169936	-0.051101823708206706	-0.05979696843276322	0	0.0	1	0.002232142857142857	0	0.0	-0.002232142857142857	0.0
INO80D	chromatin_remodeling	19	0.40425531914893614	218	0.48660714285714285	66	0.43137254901960786	-0.0823518237082067	-0.027117229870671722	0	0.0	5	0.011160714285714286	3	0.0196078431372549	-0.011160714285714286	-0.0196078431372549
APOBEC2	dna_modification	18	0.3829787234042553	191	0.4263392857142857	58	0.3790849673202614	-0.04336056231003038	0.0038937560839938934	0	0.0	3	0.006696428571428571	0	0.0	-0.006696428571428571	0.0
KMT2C	histone_write	18	0.3829787234042553	201	0.4486607142857143	73	0.477124183006536	-0.06568199088145898	-0.09414545960228066	5	0.10638297872340426	55	0.12276785714285714	16	0.10457516339869281	-0.01638487841945288	0.0018078153247114426
MORF4L1	histone_read	18	0.3829787234042553	230	0.5133928571428571	72	0.47058823529411764	-0.13041413373860178	-0.08760951188986232	0	0.0	4	0.008928571428571428	1	0.006535947712418301	-0.008928571428571428	-0.006535947712418301
MBD1	histone_write	17	0.3617021276595745	132	0.29464285714285715	40	0.26143790849673204	0.06705927051671734	0.10026421916284245	1	0.02127659574468085	4	0.008928571428571428	1	0.006535947712418301	0.012348024316109422	0.014740648032262549
PRKDC	histone_write	17	0.3617021276595745	95	0.21205357142857142	30	0.19607843137254902	0.14964855623100307	0.16562369628702547	9	0.19148936170212766	54	0.12053571428571429	15	0.09803921568627451	0.07095364741641337	0.09345014601585315
SMARCAL1	chromatin_remodeling	17	0.3617021276595745	127	0.28348214285714285	54	0.35294117647058826	0.07821998480243164	0.008760951188986232	5	0.10638297872340426	33	0.07366071428571429	14	0.0915032679738562	0.03272226443768997	0.014879710749548053
TNP2	chromatin_remodeling	17	0.3617021276595745	173	0.3861607142857143	51	0.3333333333333333	-0.02445858662613981	0.028368794326241176	2	0.0425531914893617	6	0.013392857142857142	3	0.0196078431372549	0.029160334346504557	0.0229453483521068
